algorithm,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2eq(kg),CO2eRate (kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
HPF-H-F,192881,9411132,2.258,449.08,378.27,1e-06,2.206333565095483e-07,0.0001813351470124,0.000234882796661,0.0004162179436734,8
HPF-H-F,192881,7104822,3.894,349.53,315.22,1e-06,2.196561068303964e-07,0.0002231679760342,0.0002920275353413,0.0005151955113755,8
HPF-H-L,185944,5087270,4.101,256.38,237.48,1e-06,2.1867611767742574e-07,0.0002121915514197,0.0002805739052485,0.0004927654566683,8
HPF-H-L,185944,6364346,2.725,312.62,276.56,1e-06,2.1992164778747805e-07,0.0001670083561065,0.0002179335581659,0.0003849419142724,8
HPF-H-L,185938,6527854,2.582,320.41,281.54,1e-06,2.198939414942059e-07,0.0001671616898403,0.0002181488106961,0.0003853105005364,8
HPF-H-L,185944,6022322,3.091,298.67,267.89,1e-06,2.1972725901070245e-07,0.0001826847505921,0.0002388815657436,0.0004215663163358,8
HPF-H-L,185944,5804998,2.932,289.11,259.66,1e-06,2.196817506718434e-07,0.0001745718702129,0.0002283808364723,0.0004029527066853,8
HPF-H-L,185944,6904190,2.805,336.89,296.68,1e-06,2.20596918775795e-07,0.0001805932661411,0.00023399975675,0.0004145930228911,8
HPF-H-L,188321,3564218,6.455,186.5,179.62,2e-06,2.190824362458878e-07,0.0002921896984737,0.0003847099472351,0.0006768996457089,8
HPF-H-L,188321,4030834,4.023,207.96,194.23,1e-06,2.199387514547216e-07,0.0001989675113961,0.0002596024816523,0.0004585699930484,8
HPF-H-L,188321,3663790,6.0,191.15,183.58,2e-06,2.190470697282556e-07,0.000276283167693,0.0003639015615701,0.0006401847292631,8
HPF-H-L,188321,3474670,7.031,182.44,176.46,2e-06,2.1948388951516618e-07,0.0003133805926487,0.0004108693489495,0.0007242499415982,8
HPF-H-L,188319,3771804,2.164,196.36,177.73,1e-06,2.1943607187630138e-07,0.0001215658803081,0.0001594332380778,0.000280999118386,8
HPF-H-L,188321,3664954,5.183,191.42,182.4,1e-06,2.190901213106164e-07,0.0002405236143631,0.0003166491602916,0.0005571727746548,8
HPF-H-L,188321,3595928,5.726,188.14,180.2,1e-06,2.1870919300100065e-07,0.0002633325987214,0.0003480734695502,0.0006114060682716,8
HPF-H-L,188321,3851734,4.921,199.98,190.07,1e-06,2.190526513557905e-07,0.0002324676829184,0.000306163667043,0.0005386313499614,8
HPF-H-L,188265,3739682,3.231,194.56,180.3,1e-06,2.191805891764541e-07,0.0001690739858146,0.0002223594229367,0.0003914334087513,8
HPF-H-L,188311,4121590,3.599,212.12,197.32,1e-06,2.197632643913023e-07,0.0001863888660554,0.0002436207305971,0.0004300095966525,8
HPF-H-L,188321,3473044,7.867,182.39,176.87,2e-06,2.1951066328259722e-07,0.000349711230602,0.0004583786395612,0.0008080898701633,8
HPF-H-L,188321,3793452,6.825,197.07,189.67,2e-06,2.203775134739966e-07,0.0003123524740484,0.0004057047743612,0.0007180572484097,8
HPF-H-L,188321,3504376,6.997,184.04,177.58,2e-06,2.196575837054433e-07,0.0003158973899399,0.0004133829305234,0.0007292803204633,8
HPF-H-L,188321,3738814,7.066,194.55,187.81,2e-06,2.2072846804053785e-07,0.0003215865683801,0.0004161739325954,0.0007377605009755,8
HPF-H-L,188321,3480250,7.564,182.7,177.01,2e-06,2.1934015112326402e-07,0.00033689612535,0.0004423729479688,0.0007792690733188,8
HPF-H-L,188321,4000072,5.119,206.71,196.12,1e-06,2.1868354823691094e-07,0.000243956581554,0.000322556253703,0.000566512835257,8
HPF-H-L,188315,3543916,4.51,185.79,176.2,1e-06,2.197072644989675e-07,0.0002139691467307,0.0002798588737089,0.0004938280204396,8
HPF-H-L,188321,3647188,6.573,190.45,183.39,2e-06,2.1950300836601178e-07,0.0002975002224444,0.0003899675989357,0.0006874678213801,8
HPF-H-L,188321,4310824,10.422,223.46,215.74,3e-06,2.2116170649659858e-07,0.000465597833589,0.0005998640052773,0.0010654618388664,8
HPF-H-L,192881,7576174,3.079,370.85,326.75,1e-06,2.1938000776062041e-07,0.0001985183104811,0.0002605411705116,0.0004590594809928,8
HPF-H-L,190120,7476752,1.189,365.43,293.59,1e-06,2.2281486072514374e-07,0.0001229414239086,0.0001556839900878,0.0002786254139964,8
HPF-H-L,192727,8388798,2.049,406.23,340.53,1e-06,2.1995136073087722e-07,0.0001598698323402,0.0002085526765613,0.0003684225089015,8
HPF-H-L,192881,8529240,2.722,414.21,357.24,1e-06,2.2016241916221729e-07,0.0001924505281269,0.0002505093111054,0.0004429598392324,8
HPF-H-L,192881,8192046,3.531,399.2,353.63,1e-06,2.2007654289576805e-07,0.0002203478176669,0.0002870778760925,0.0005074256937595,8
HPF-H-L,192881,8200770,3.804,398.96,355.55,1e-06,2.1927439594119894e-07,0.0002304257385071,0.000302756605136,0.0005331823436431,8
HPF-H-L,192859,7474342,2.186,366.29,312.97,1e-06,2.196053288315531e-07,0.0001588961029501,0.0002080363752093,0.0003669324781594,8
HPF-H-L,192881,7094782,3.636,348.97,313.14,1e-06,2.200114769507173e-07,0.0002116946076888,0.0002760013500495,0.0004876959577384,8
HPF-H-L,192857,9821482,2.768,468.89,400.79,1e-06,2.1974520974343402e-07,0.0001999866102669,0.0002614624378533,0.0004614490481202,8
HPF-H-L,192881,7932216,3.226,387.66,340.5,1e-06,2.228557627275785e-07,0.0002107801330684,0.0002668515189823,0.0004776316520507,8
HPF-H-L,192881,10329030,3.659,488.72,427.07,1e-06,2.2074508857805934e-07,0.0002467112118132,0.0003192092367117,0.0005659204485249,8
HPF-H-L,192881,7336978,2.821,360.27,315.14,1e-06,2.197976880430909e-07,0.000183704120852,0.0002400388540628,0.0004237429749149,8
HPF-H-L,192881,7209104,2.968,354.34,312.57,1e-06,2.196398231646578e-07,0.0001873987757522,0.0002452555932959,0.0004326543690482,8
HPF-H-L,192879,8856946,2.168,426.01,357.79,1e-06,2.201292825287833e-07,0.0001722298705615,0.0002242622523064,0.000396492122868,8
HPF-H-L,192881,7097152,2.736,348.95,305.77,1e-06,2.2029830760358417e-07,0.0001760133655328,0.0002287827427689,0.0004047961083017,8
HPF-H-L,192881,6409486,1.734,317.24,268.15,1e-06,2.228234919814817e-07,0.0001360949174869,0.0001723437191749,0.0003084386366619,8
HPF-H-L,192881,7980326,2.696,388.72,337.13,1e-06,2.1938378399912505e-07,0.0001867218799329,0.0002450464976175,0.0004317683775504,8
HPF-H-L,192881,8907790,2.873,430.66,370.21,1e-06,2.203643085338234e-07,0.0001968347266343,0.0002556781442869,0.0004525128709212,8
HPF-H-L,192881,9411132,2.396,449.47,380.07,1e-06,2.202226587348276e-07,0.0001850894466825,0.0002407758529499,0.0004258652996324,8
HPF-H-L,192881,7104822,3.372,349.53,312.11,1e-06,2.1895674813532538e-07,0.000201446788935,0.0002655701944523,0.0004670169833874,8
HPF-L-F,190120,7476752,1.229,351.34,289.32,1e-06,2.205491217984127e-07,0.0001199911929373,0.0001555441308928,0.0002755353238301,8
HPF-L-F,192857,9821482,0.34,453.09,339.18,1e-06,2.240204247231668e-07,0.0001169808766401,0.0001463474677886,0.0002633283444288,8
HPF-L-F,192881,10329030,0.442,473.71,352.04,1e-06,2.2110075163803489e-07,0.000113277218955,0.0001459991623194,0.0002592763812744,8
HPF-L-F,192879,8856946,0.378,409.26,304.0,1e-06,2.214791521472977e-07,9.759334751906212e-05,0.0001252862640555,0.0002228796115745,8
HPF-L-F,192881,8907790,0.194,413.73,300.98,1e-06,2.2092200319615802e-07,9.241593087712384e-05,0.0001193228223372,0.0002117387532143,8
HPF-L-F,192881,9411132,0.398,435.04,324.38,1e-06,2.2114130056835345e-07,0.0001050732098918,0.0001353693889314,0.0002404425988233,8
HPF-L-L,190120,7476752,1.247,352.02,289.45,1e-06,2.2165024924411106e-07,0.0001214704621762,0.0001556759100004,0.0002771463721767,8
HPF-L-L,192857,9821482,0.337,453.68,335.46,1e-06,2.2070439881946626e-07,0.0001048614691668,0.0001357055805138,0.0002405670496807,8
HPF-L-L,192881,10329030,0.272,473.03,343.8,1e-06,2.2081860164208882e-07,0.0001054157859992,0.0001362603590673,0.0002416761450666,8
HPF-L-L,192879,8856946,0.299,409.82,305.7,1e-06,2.2041815954181945e-07,9.608600214651776e-05,0.0001247147383655,0.000220800740512,8
HPF-L-L,192881,8907790,0.16,413.65,299.43,1e-06,2.2669284121366042e-07,9.85258782650834e-05,0.0001200257399899,0.000218551618255,8
HPF-L-L,192881,9411132,0.426,435.36,324.47,1e-06,2.215747981829496e-07,0.0001055396194316,0.0001353571126935,0.0002408967321251,8
HPF-H-F,248322,1516966,0.127,98.65,90.4,6.6e-05,3.4260045333557906e-05,9.294369768822476e-05,0.0001010663330965,0.0001940100307847,8
HPF-H-F,159938,1230776,0.119,89.99,89.99,4.4e-05,3.336566500094022e-05,6.027473849752607e-05,6.930445851584892e-05,0.0001295791970133,8
HPF-H-F,1279490,7309976,0.701,485.33,388.33,9.2e-05,3.35024748217398e-05,0.0001256154541033,0.0001432217977365,0.0002688372518399,8
HPF-H-F,3528450,32295420,3.154,1874.17,1496.78,0.000401,3.405827133719407e-05,0.0005599731932559,0.0006167225644604,0.0011766957577163,8
HPF-H-F,305966,2507100,0.258,150.52,111.79,0.000154,3.386712296244312e-05,0.0002137016776278,0.0002381418693312,0.0004518435469591,8
HPF-H-F,15522,94334,0.005,89.53,89.53,3e-06,3.335692153391566e-05,4.781163547143419e-06,5.46258869412668e-06,1.0243752241270098e-05,8
HPF-H-F,2006210,16482732,1.464,981.15,780.42,0.000197,3.354446487042676e-05,0.0002705990248123,0.0003077575048774,0.0005783565296898,8
HPF-H-F,97526,730938,0.065,89.87,89.87,1.9e-05,3.789071464746431e-05,3.0188359150667976e-05,2.685531329444189e-05,5.7043672445109865e-05,8
HPF-H-L,248322,1516966,0.136,98.69,91.62,1.9e-05,3.542936916586413e-05,2.7241959849100272e-05,2.762116071625087e-05,5.486312056535114e-05,8
HPF-H-L,159938,1230776,0.12,89.86,89.86,1.7e-05,3.3439317537566766e-05,2.388911800017824e-05,2.7309596541061864e-05,5.1198714541240094e-05,8
HPF-H-L,1279490,7309976,0.789,485.42,389.72,9.2e-05,3.362387042859619e-05,0.0001263816983275,0.0001429924081754,0.0002693741065029,8
HPF-H-L,3528450,32295420,3.027,1874.22,1494.86,0.000389,3.361308968013795e-05,0.0005348508789914,0.0006056916215999,0.0011405425005914,8
HPF-H-L,305966,2507100,0.259,150.42,120.79,3.2e-05,3.3694575578446686e-05,4.384149257316561e-05,4.935101353963916e-05,9.319250611280475e-05,8
HPF-H-L,15522,94334,0.005,89.96,89.96,3e-06,3.302714987802142e-05,4.691204864071263e-06,5.472579528668575e-06,1.016378439273984e-05,8
HPF-H-L,2006210,16482732,1.47,981.16,779.04,0.000195,3.3703384443528924e-05,0.000268677047997,0.0003025074836767,0.0005711845316737,8
HPF-H-L,97526,730938,0.063,90.0,90.0,1e-05,3.3311643007902674e-05,1.4205415808765665e-05,1.6356369884832135e-05,3.05617856935978e-05,8
HPF-L-F,248322,1516966,0.186,98.59,93.54,2.1e-05,3.375755641972826e-05,2.930284233114422e-05,3.283802483481963e-05,6.214086716596384e-05,8
HPF-L-F,159938,1230776,0.124,91.0,91.0,1.8e-05,3.3944045129008446e-05,2.464791944055411e-05,2.729361120579484e-05,5.194153064634895e-05,8
HPF-L-F,1279490,7309976,0.889,485.45,393.43,9.8e-05,3.463541872140154e-05,0.0001392718258618,0.000148079391445,0.0002873512173068,8
HPF-L-F,3528450,32295420,3.826,1874.16,1522.52,0.000415,3.3879773395600483e-05,0.0005767894850423,0.0006423208059757,0.001219110291018,8
HPF-L-F,305966,2507100,0.56,150.49,128.34,4.2e-05,3.3720509663342694e-05,5.7855071839571504e-05,6.503361403150905e-05,0.000122888685871,8
HPF-L-F,15522,94334,0.003,89.37,89.37,3e-06,3.33649512939595e-05,4.788792719923052e-06,5.467509180138563e-06,1.0256301900061616e-05,8
HPF-L-F,2006210,16482732,2.106,981.18,801.99,0.000221,3.408019572709156e-05,0.0003085977335446,0.0003393940569273,0.000647991790472,8
HPF-L-F,97526,730938,0.066,91.11,91.11,1.1e-05,3.5002361516716405e-05,1.579327680129028e-05,1.6390551027508596e-05,3.218382782879888e-05,8
HPF-L-L,248322,1516966,0.165,98.61,93.57,2.1e-05,3.360075674419633e-05,2.903171100313018e-05,3.285991725100957e-05,6.189162825413975e-05,8
HPF-L-L,159938,1230776,0.104,91.12,91.12,1.4e-05,3.3570943569609245e-05,1.943662832706861e-05,2.202289648904525e-05,4.145952481611386e-05,8
HPF-L-L,1279490,7309976,0.83,485.33,391.55,9.1e-05,3.332434376597536e-05,0.0001237858098619,0.0001427653414834,0.0002665511513453,8
HPF-L-L,3528450,32295420,4.107,1874.23,1528.86,0.000432,3.399675425750313e-05,0.0006015041189806,0.0006649889979792,0.0012664931169599,8
HPF-L-L,305966,2507100,0.565,150.47,128.38,4.4e-05,3.517708573284604e-05,6.3315470652336e-05,6.518731053239293e-05,0.0001285027811847,8
HPF-L-L,15522,94334,0.002,91.0,91.0,4e-06,3.3481301495778654e-05,4.821751912954006e-06,5.466122951845876e-06,1.0287874864799884e-05,8
HPF-L-L,2006210,16482732,1.769,981.22,788.33,0.000205,3.372328470651558e-05,0.0002836773774972,0.0003189991419498,0.0006026765194471,8
HPF-L-L,97526,730938,0.06,91.03,91.03,1e-05,3.326294200238226e-05,1.4206229698308016e-05,1.6406773645095996e-05,3.061300334340401e-05,8
HPF-H-F,319382,2205290,0.268,137.79,104.38,1e-06,2.29990635504364e-07,0.0001480766573501,0.0001747644359417,0.0003228410932919,8
HPF-H-F,321509,2213815,0.292,138.34,104.93,1e-06,2.280236316735725e-07,0.000145235034799,0.0001746777279865,0.0003199127627855,8
HPF-H-F,319374,2173216,0.238,136.24,102.61,1e-06,2.246806330725081e-07,0.0001320958842877,0.0001641734644574,0.0002962693487452,8
HPF-H-F,315588,2147965,0.334,134.78,103.53,1e-06,2.2928374781799135e-07,0.0001426321613278,0.0001694802460869,0.0003121124074148,8
HPF-H-F,315628,2162357,0.263,135.22,102.89,1e-06,2.309431040698764e-07,0.0001448504803247,0.0001694355121252,0.00031428599245,8
HPF-H-F,314933,2135638,0.261,133.97,102.01,1e-06,2.3034761957452306e-07,0.0001395659977638,0.0001641680069641,0.0003037340047279,8
HPF-H-F,312744,2123475,0.255,133.21,101.5,1e-06,2.3094736958137334e-07,0.0001404443767998,0.0001642727233986,0.0003047171001985,8
HPF-H-F,308885,2091243,0.273,131.41,100.21,1e-06,2.300545805762902e-07,0.0001391755093958,0.0001641647599429,0.0003033402693387,8
HPF-H-F,310870,2107684,0.296,132.44,101.13,1e-06,2.2484985104068733e-07,0.0001280679780098,0.0001588985161246,0.0002869664941344,8
HPF-H-F,278747,1812736,0.172,115.16,93.34,1e-06,2.241197433160853e-07,9.769554732304286e-05,0.000122089746498,0.000219785293821,8
HPF-H-F,322862,2214173,0.263,138.61,105.17,1e-06,2.2172388416587521e-07,0.0001323106089039,0.000169445003418,0.000301755612322,8
HPF-H-F,319322,2172548,0.288,136.28,103.71,1e-06,2.28368835456729e-07,0.0001413627850345,0.0001694538328181,0.0003108166178527,8
HPF-H-F,320287,2177425,0.278,136.5,103.91,1e-06,2.287388818616959e-07,0.000142054668088,0.0001696756168564,0.0003117302849444,8
HPF-H-F,316334,2166733,0.274,135.48,103.14,1e-06,2.289214690409519e-07,0.0001421360650976,0.0001694774736303,0.000311613538728,8
HPF-H-F,316971,2160236,0.265,135.2,102.94,1e-06,2.259658537948605e-07,0.0001337656847902,0.0001641430673434,0.0002979087521336,8
HPF-H-F,320248,2198821,0.267,137.6,104.43,1e-06,2.247796472563128e-07,0.0001406910772749,0.0001746850462728,0.0003153761235478,8
HPF-H-F,289604,1903511,0.149,120.51,92.23,1e-06,2.232849019428623e-07,0.0001010915375398,0.0001274027599104,0.0002284942974503,8
HPF-H-F,316576,2155740,0.289,135.27,102.94,1e-06,2.2314020581965893e-07,0.0001342026106953,0.0001693993328156,0.000303601943511,8
HPF-H-F,324990,2246124,0.279,140.17,106.31,1e-06,2.234978631933426e-07,0.0001472705878163,0.0001852253017832,0.0003324958895996,8
HPF-H-F,300204,1979505,0.235,125.22,96.24,1e-06,2.24445269786697e-07,0.0001149329980574,0.0001431731798379,0.0002581061778954,8
HPF-H-F,301667,1985679,0.197,125.73,96.47,1e-06,2.2367839849091058e-07,0.0001140071134278,0.0001431175558666,0.0002571246692945,8
HPF-H-F,301270,1984118,0.214,125.4,95.21,1e-06,2.2374490904893093e-07,0.0001140778293177,0.0001431105497939,0.0002571883791117,8
HPF-H-F,311472,2119835,0.219,132.88,101.28,1e-06,2.250723129537802e-07,0.0001283649135251,0.0001589122035679,0.0002872771170931,8
HPF-H-F,312807,2141643,0.212,133.98,100.88,1e-06,2.1983911410378306e-07,0.0001257579200507,0.0001642338215866,0.0002899917416373,8
HPF-H-F,317375,2163213,0.207,135.46,102.08,1e-06,2.200044560569769e-07,0.0001259191204574,0.0001641601891361,0.0002900793095935,8
HPF-H-F,310612,2116941,0.206,132.71,100.26,1e-06,2.201422326884207e-07,0.000118076116683,0.0001537102008157,0.0002717863174987,8
HPF-H-F,307470,2054452,0.211,129.61,98.03,1e-06,2.1967230637396685e-07,0.000113449049648,0.0001484152333481,0.0002618642829961,8
HPF-H-F,317904,2165783,0.204,135.77,103.26,1e-06,2.197026600408358e-07,0.0001255631335059,0.0001642165499314,0.0002897796834374,8
HPF-H-F,303355,2025254,0.207,127.82,97.42,1e-06,2.195291427771876e-07,0.0001134156498991,0.000148589186266,0.0002620048361651,8
HPF-H-F,311309,2097522,0.239,131.91,99.42,1e-06,2.193076073007312e-07,0.0001210206509831,0.0001589303993753,0.0002799510503584,8
HPF-H-F,314478,2153113,0.229,134.74,101.46,1e-06,2.1970655451143581e-07,0.0001215447725135,0.0001589500938079,0.0002804948663214,8
HPF-H-F,313416,2138608,0.228,133.97,101.9,1e-06,2.185523786791681e-07,0.0001279703220984,0.0001694123833433,0.0002973827054417,8
HPF-H-F,289055,1878030,0.165,119.23,91.74,1e-06,2.2024555842158305e-07,9.391028929483376e-05,0.0001221076425803,0.0002160179318752,8
HPF-H-F,307925,2073051,0.195,130.37,98.54,1e-06,2.200526281038143e-07,0.0001139063716805,0.0001484199540174,0.000262326325698,8
HPF-H-F,302434,1995091,0.202,126.18,95.93,1e-06,2.2028930954610523e-07,0.0001101077536416,0.0001431132847849,0.0002532210384266,8
HPF-H-F,317868,2179791,0.17,136.32,102.69,1e-06,2.1943691737683042e-07,0.0001252304076842,0.0001642375931267,0.0002894680008109,8
HPF-H-F,7798786,46920181,3.088,3070.39,2394.21,4e-06,2.470998143811929e-07,0.0007816338408621,0.0007939380083518,0.0015755718492139,8
HPF-H-F,7798786,202895861,6.753,10210.58,7382.26,1.3e-05,2.46853711916658e-07,0.0027547949221675,0.0028039250828066,0.0055587200049741,8
HPF-H-F,7798786,46920181,1.918,3070.5,2336.8,3e-06,2.4713804152513424e-07,0.0007020994077901,0.0007129509054527,0.0014150503132429,8
