implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
MBK2,1118,2214,0.00025283,84.7148,84.7148,4.405798461041336e-07,4.291314409070529e-06,1.21084021197425e-06,8.196378722800548e-08,1.2928039992022555e-06,8
BK,1118,2226,0.000213663,84.6875,84.6875,4.3910443051136373e-07,4.2913637840953065e-06,1.2067814668019614e-06,8.16931850738456e-08,1.288474651875807e-06,8
MBK,1118,2226,0.000118392,84.5938,84.5938,4.391945079520444e-07,4.291454160915479e-06,1.2070291572146943e-06,8.170981105365629e-08,1.2887389682683508e-06,8
MBK2,1118,2226,0.000229914,84.4766,84.4766,4.394467048637071e-07,4.291209253047371e-06,1.2077300084961789e-06,8.174898721298027e-08,1.2894789957091589e-06,8
BK,1118,2206,0.000199547,84.6016,84.6016,4.392064921681072e-07,4.291401305304275e-06,1.2070601185162865e-06,8.1714015324413e-08,1.2887741338406992e-06,8
MBK,1118,2206,0.000147198,84.4688,84.4688,4.399218894661057e-07,4.291014194362521e-06,1.2090331978268094e-06,8.184014344711465e-08,1.290873341273924e-06,8
MBK2,1118,2206,0.00020918,84.5977,84.5977,4.395295644279652e-07,4.291219126026755e-06,1.2079551815986637e-06,8.176695091530446e-08,1.289722132513968e-06,8
BK,1118,2374,0.000201294,84.5898,84.5898,4.39608817854424e-07,4.291633262255247e-06,1.2081634667184618e-06,8.17912210237637e-08,1.2899546877422255e-06,8
MBK,1118,2374,0.000137235,84.582,84.582,4.397112349083176e-07,4.291614231411235e-06,1.208447747760349e-06,8.180746479714194e-08,1.2902552125574907e-06,8
MBK2,1118,2374,0.00025076,84.582,84.582,4.3990054378907204e-07,4.291394797549191e-06,1.208968460559845e-06,8.184224558249299e-08,1.290810706142338e-06,8
BK,1118,2196,0.000199371,84.4688,84.4688,4.391442618857588e-07,4.291453075128751e-06,1.2068996826807658e-06,8.16918473513321e-08,1.288591530032098e-06,8
MBK,1118,2196,0.000122921,84.5312,84.5312,4.397065988223361e-07,4.291549010145411e-06,1.2084393037690056e-06,8.180230501030413e-08,1.2902416087793098e-06,8
MBK2,1118,2196,0.000200651,84.7227,84.7227,4.39949163443503e-07,4.290142857539479e-06,1.209159857696957e-06,8.179351426235827e-08,1.2909533719593156e-06,8
BK,1118,2292,0.000212193,84.5938,84.5938,4.4026831425362166e-07,4.29146909492731e-06,1.2099845541848077e-06,8.19053096438438e-08,1.2918898638286515e-06,8
MBK,1118,2292,0.000130954,84.582,84.582,4.397407456012132e-07,4.291602663367586e-06,1.2085293730099995e-06,8.181243348076351e-08,1.2903418064907633e-06,8
MBK2,1118,2292,0.000206727,84.4648,84.4648,4.394535078169743e-07,4.291525468455654e-06,1.2077356378237407e-06,8.176331995419636e-08,1.2894989577779371e-06,8
BK,1118,2420,0.000221522,84.5938,84.5938,4.399110598510598e-07,4.291367630965458e-06,1.2090050511889989e-06,8.183651248600655e-08,1.2908415636750055e-06,8
MBK,1118,2420,0.000174657,84.7109,84.7109,4.397518952495822e-07,4.29126215229983e-06,1.2085687783029343e-06,8.1805744868196e-08,1.2903745231711305e-06,8
MBK2,1118,2420,0.000237143,84.3633,84.3633,4.394073945039477e-07,4.291564754831158e-06,1.207611792617374e-06,8.175185376122349e-08,1.2893636463785974e-06,8
BK,1118,2164,0.00019531,84.4766,84.4766,4.399099488530169e-07,4.290777984493717e-06,1.2090782324473065e-06,8.176007119952073e-08,1.290838303646827e-06,8
MBK,1118,2164,0.000122269,84.4648,84.4648,4.400438221655429e-07,4.291514903143223e-06,1.2093625134891936e-06,8.186861782633059e-08,1.2912311313155242e-06,8
MBK2,1118,2164,0.000205637,84.6016,84.6016,4.401060942919831e-07,4.2914137532360845e-06,1.2095370226436191e-06,8.187683526462783e-08,1.291413857908247e-06,8
BK,1118,2216,0.000212947,84.6484,84.6484,4.408195990699849e-07,4.289446057826462e-06,1.2115832832124498e-06,8.192422886224905e-08,1.293507512074699e-06,8
MBK,1118,2216,0.000131024,84.5234,84.5234,4.395778864523694e-07,4.291461148670515e-06,1.2080902854601542e-06,8.177363952787195e-08,1.2898639249880262e-06,8
MBK2,1118,2216,0.000252724,84.5859,84.5859,4.400473808584258e-07,4.29142986952442e-06,1.2093765868080989e-06,8.186498686522253e-08,1.2912415736733213e-06,8
