implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
EIBFS old,23234,1372300,0.172074,127.48,108.467,5.951607153264735e-06,2.890443137876333e-05,6.700342860269798e-06,1.076360061662456e-05,1.7463943476894357e-05,32
EIBFS new,23234,1372300,0.145082,108.988,99.207,5.903793018987738e-06,2.8673380440125967e-05,6.559928303492835e-06,1.0763713013513154e-05,1.7323641317005987e-05,32
EIBFS new2,23234,1372300,0.309389,89.4023,89.4023,1.158377187313446e-05,2.853734705320496e-05,1.2749950199956311e-05,2.1240589167328497e-05,3.399053936728481e-05,32
EIBFS old,14882,861532,0.0897571,89.5195,89.5195,5.82280088365891e-06,2.8290568424195363e-05,6.331013120360746e-06,1.0754971033288996e-05,1.7085984153649742e-05,32
EIBFS new,14882,861532,0.0721497,89.4805,89.4805,3.052400356638817e-06,2.8879193144105296e-05,3.4424277539392423e-06,5.514303751424166e-06,8.956731505363407e-06,32
EIBFS new2,14882,861532,0.161828,89.5508,89.5508,5.860664615753075e-06,2.849271847667925e-05,6.448386825376462e-06,1.0748701784613958e-05,1.719708860999042e-05,32
EIBFS old,19394,1137340,0.141082,106.391,97.9512,5.93102014760258e-06,2.88179631698774e-05,6.644766982477624e-06,1.0758767550414915e-05,1.740353453289254e-05,32
EIBFS new,19394,1137340,0.117923,90.9062,90.166,5.878476428029518e-06,2.856246236075914e-05,6.490399358981269e-06,1.0758954878562575e-05,1.7249354237543846e-05,32
EIBFS old,18050,1055104,0.164823,98.8164,94.2012,5.90760738121409e-06,2.8700214246447013e-05,6.579663041503259e-06,1.0755170849979834e-05,1.7334833891483094e-05,32
EIBFS new,18050,1055104,0.142829,89.4922,89.4922,5.903710268392307e-06,2.868364025674108e-05,6.569626366807052e-06,1.0753772133143968e-05,1.7323398499951018e-05,32
EIBFS new2,18050,1055104,0.339875,89.4961,89.4961,1.1608050673037878e-05,2.858876346132757e-05,1.2815597196916271e-05,2.1246184034671955e-05,3.406178123158823e-05,32
EIBFS old,12674,725620,0.0898687,89.418,89.418,5.843344043043115e-06,2.837539065094411e-05,6.381265105007139e-06,1.0764999333460424e-05,1.7146264438467564e-05,32
EIBFS new,12674,725620,0.0745615,89.418,89.418,3.055829416058126e-06,2.8860726598432027e-05,3.4422241426655675e-06,5.524569333915963e-06,8.96679347658153e-06,32
EIBFS new2,12674,725620,0.183989,89.7383,89.7383,5.8973658310474295e-06,2.86331135800507e-05,6.537447174395639e-06,1.0767334691034592e-05,1.730478186543023e-05,32
EIBFS old,17074,995340,0.140233,93.4883,91.4277,5.918048363341423e-06,2.8758166679669373e-05,6.607552786037918e-06,1.0757918329478856e-05,1.7365471115516773e-05,32
EIBFS new,17074,995340,0.119587,89.5039,89.5039,5.903599214614918e-06,2.869031250427978e-05,6.5665405310048885e-06,1.0756532101186168e-05,1.7323072632191057e-05,32
EIBFS new2,17074,995340,0.268325,89.4648,89.4648,8.746452177166682e-06,2.8597482374698552e-05,9.666663288877136e-06,1.5998260909221076e-05,2.566492419809821e-05,32
EIBFS old,15170,878884,0.111814,89.4141,89.4141,5.883259241255697e-06,2.856270504396853e-05,6.500961867429017e-06,1.0762426693565886e-05,1.7263388560994903e-05,32
EIBFS new,15170,878884,0.0967738,89.4453,89.4453,5.843134602105672e-06,2.8388342091293288e-05,6.384147329535628e-06,1.076150254137076e-05,1.714564987090639e-05,32
EIBFS new2,15170,878884,0.207421,89.6562,89.6562,8.70724816209929e-06,2.8462577717159064e-05,9.547729582622122e-06,1.6002157334692414e-05,2.5549886917314536e-05,32
EIBFS old,15186,878828,0.104724,89.457,89.457,5.855544117526107e-06,2.844609544330307e-05,6.418937357366428e-06,1.0763126051983818e-05,1.7182063409350246e-05,32
EIBFS new2,15186,878828,0.184994,89.4453,89.4453,6.109396736576166e-06,2.9702251685728544e-05,7.179196576685004e-06,1.0747752655332475e-05,1.7926949232017483e-05,32
EIBFS old,13538,779296,0.128938,89.6172,89.6172,5.894452005962809e-06,2.8616746814784183e-05,6.535141339220063e-06,1.0761090419445906e-05,1.7296231758665968e-05,32
EIBFS new,13538,779296,0.110698,89.4805,89.4805,5.860064581928299e-06,2.845638823329755e-05,6.435586259578158e-06,1.075974165678275e-05,1.719532791636091e-05,32
EIBFS new2,13538,779296,0.257399,89.3711,89.3711,8.72137084543015e-06,2.8517699272614e-05,9.597574900273298e-06,1.5993752545134045e-05,2.5591327445407343e-05,32
EIBFS old,18242,1066852,0.159116,99.9766,94.7031,5.918075175170811e-06,2.8764962221263823e-05,6.611028344375575e-06,1.0754521445734611e-05,1.7365549790110188e-05,32
EIBFS new,18242,1066852,0.137292,89.4844,89.4844,5.894617856783554e-06,2.861596210959041e-05,6.528359667128114e-06,1.0768358751575136e-05,1.729671841870325e-05,32
EIBFS new2,18242,1066852,0.277913,89.5117,89.5117,8.719321232417633e-06,2.85055082866166e-05,9.58877572657113e-06,1.59965374902626e-05,2.558531321683373e-05,32
EIBFS old,18130,1059684,0.144172,99.5195,94.5703,5.965604298344865e-06,2.8964896974925344e-05,6.741914560192547e-06,1.0763101074897463e-05,1.750501563509001e-05,32
EIBFS new,18130,1059684,0.12283,89.5703,89.5703,5.899027799828965e-06,2.863478545819334e-05,6.540600510255429e-06,1.0769058109993068e-05,1.7309658620248495e-05,32
EIBFS new2,18130,1059684,0.300775,89.4023,89.4023,1.1614207900187176e-05,2.8596841631896224e-05,1.2833127488717788e-05,2.1246721042028584e-05,3.407984853074637e-05,32
EIBFS old,27778,1652856,0.200387,152.809,131.713,8.760933753745456e-06,2.8645858675310663e-05,9.712778603548217e-06,1.5994639231699636e-05,2.5707417835247853e-05,32
EIBFS new,27778,1652856,0.168214,130.805,110.115,5.919401113236924e-06,2.8584293763702423e-05,0.0001325828255106,0.000220462850327,0.0003530456758377,32
EIBFS new2,27778,1652856,0.401506,89.4609,89.4609,1.4390606801494576e-05,2.8436944054289603e-05,1.5741786760087306e-05,2.648491559234429e-05,4.22267023524316e-05,32
EIBFS old,27554,1639060,0.255588,151.449,130.805,8.802467963292706e-06,2.8785209692034803e-05,9.832542866031193e-06,1.5996749795496613e-05,2.5829292661527804e-05,32
EIBFS new,27554,1639060,0.219029,129.699,116.303,8.793513002898149e-06,2.873359059939461e-05,9.801957563778524e-06,1.6001058342892805e-05,2.580301590667133e-05,32
EIBFS new2,27554,1639060,0.549091,89.582,89.582,1.7347813379606478e-05,2.861827902893134e-05,1.917383839461495e-05,3.173026607790064e-05,5.090410447251559e-05,32
EIBFS old,14882,861532,0.11178,89.5312,89.5312,5.909899070693077e-06,2.9627789468833662e-05,7.128741258544472e-06,1.0753659736255372e-05,1.7882400994799844e-05,32
EIBFS new,14882,861532,0.0941411,89.4258,89.4258,5.862749009610319e-06,2.8461087165164258e-05,6.438655150924066e-06,1.0764549745906038e-05,1.7203204896830105e-05,32
EIBFS new2,14882,861532,0.198856,89.4727,89.4727,8.701060198945182e-06,2.84584079437962e-05,9.538676242044908e-06,1.599305318671611e-05,2.553172942876101e-05,32
EIBFS old,23282,1375372,0.160638,127.883,108.746,5.949632898035948e-06,2.8912854494475432e-05,6.705090086288335e-06,1.075306028618286e-05,1.7458150372471193e-05,32
EIBFS new,23282,1375372,0.13595,109.211,99.3926,5.929880504262388e-06,2.8802849650208856e-05,6.642122258135319e-06,1.0758068191996984e-05,1.7400190450132305e-05,32
EIBFS new2,23282,1375372,0.305131,89.3594,89.3594,1.1548122735263744e-05,2.843893291979524e-05,1.2643308447971707e-05,2.1242624799866407e-05,3.388593324783812e-05,32
EIBFS old,22178,1307956,0.129471,121.68,105.537,5.913556312417096e-06,2.8761196141166807e-05,6.603738060759201e-06,1.0748551922095828e-05,1.735228998285503e-05,32
EIBFS new,22178,1307956,0.103989,104.094,96.8555,5.849204567993623e-06,2.841648292446499e-05,6.402695399931185e-06,1.0760765717323297e-05,1.716346111725448e-05,32
EIBFS old,20930,1231324,0.138168,114.93,102.172,5.896684331188148e-06,2.8657305229333616e-05,6.546924404209065e-06,1.075585771985459e-05,1.7302782124063653e-05,32
EIBFS new,20930,1231324,0.114661,98.2812,93.8535,5.874136732532896e-06,2.853321226592988e-05,6.478989072078445e-06,1.0757631092985776e-05,1.7236620165064223e-05,32
EIBFS new2,20930,1231324,0.250717,89.4961,89.4961,8.761722282643857e-06,2.863807805517958e-05,9.712269992030733e-06,1.5997461642457723e-05,2.570973163448845e-05,32
EIBFS old,15554,900760,0.101204,89.4219,89.4219,5.873123540841005e-06,2.854425736280528e-05,6.478463793882505e-06,1.0755183338523013e-05,1.7233647132405516e-05,32
EIBFS new,15554,900760,0.0835665,89.4805,89.4805,3.0628768179132023e-06,2.828862376264241e-05,3.245826763337289e-06,5.5045876648321725e-06,8.750414428169461e-06,32
