implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
HPF-L-F,188321,3793452,0.081,193.8,141.6,3.739487838950017e-05,3.571068888175861e-05,5.490039892028578e-05,5.482828876054242e-05,0.0001097286876808,8
HPF-L-F,188321,3504376,0.049,180.68,129.43,3.373505308178758e-05,3.569341043407827e-05,4.950720655017872e-05,4.948236803677872e-05,9.898957458695744e-05,8
HPF-L-F,188321,3738814,0.059,182.97,135.45,3.3898352942676285e-05,3.57976592139518e-05,4.989003213421578e-05,4.957871714739213e-05,9.946874928160791e-05,8
HPF-L-F,188321,3480250,0.049,179.65,128.7,3.699035076630099e-05,3.56642126814112e-05,5.423677866716811e-05,5.430489391597888e-05,0.0001085416725831,8
HPF-L-F,188321,4000072,0.061,202.5,143.55,3.747218530562721e-05,3.5746757942194514e-05,5.506948294444099e-05,5.488604827273776e-05,0.0001099555312171,8
HPF-L-F,188315,3543916,0.071,182.13,130.68,3.38256956835746e-05,3.5786967767293094e-05,4.976814842559858e-05,4.9487400919679206e-05,9.92555493452778e-05,8
HPF-L-F,73596,1117992,0.007,90.86,90.86,1.1318017839720936e-05,3.562484287210795e-05,1.6592751051968183e-05,1.6617979887311663e-05,3.321073093927985e-05,8
HPF-L-F,188321,3647188,0.052,183.43,133.24,3.3888087648800576e-05,3.579361381695327e-05,4.9867466005050834e-05,4.957116157876982e-05,9.943862758382064e-05,8
HPF-L-F,188321,4310824,0.149,216.75,158.86,4.464509096100756e-05,3.567663227795312e-05,6.547492487989776e-05,6.552823527259192e-05,0.0001310031601524,8
HPF-L-F,192881,7576174,0.157,355.19,257.68,7.033582151498262e-05,3.55379266229574e-05,0.0001027395346915,0.0001036485517036,0.0002063880863952,8
HPF-L-F,190120,7476752,1.209,351.33,288.64,0.000106553904878,3.5761911538189994e-05,0.0001566178680719,0.0001560458081607,0.0003126636762327,8
HPF-L-F,192727,8388798,0.282,390.06,288.28,8.173043777440099e-05,3.569971885919973e-05,0.0001199275978864,0.0001198959840263,0.0002398235819128,8
HPF-L-F,192881,8529240,0.214,397.16,288.49,8.191881652439273e-05,3.576644411281611e-05,0.0001204243385616,0.000119952007631,0.0002403763461926,8
HPF-L-F,192881,8192046,0.195,382.0,278.19,7.509155398716904e-05,3.43731759533097e-05,0.000105931905301,0.0001144110408399,0.0002203429461409,8
HPF-L-F,192881,8200770,0.212,382.47,278.24,7.800076013648105e-05,3.572925228714321e-05,0.000114550545807,0.0001143289536456,0.0002288794994526,8
HPF-L-F,192859,7474342,0.19,350.05,255.84,7.078974485851329e-05,3.573397984728392e-05,0.0001039724087334,0.0001037476358052,0.0002077200445386,8
HPF-L-F,192881,7094782,0.097,332.8,237.54,6.34715222389555e-05,3.5729993743391195e-05,9.321554096125909e-05,9.303046759216472e-05,0.0001862460085534,8
HPF-L-F,76570,2326702,0.014,110.27,94.22,2.8656406535756083e-05,3.550545816074653e-05,4.183482957894821e-05,4.225235075801806e-05,8.408718033696628e-05,8
HPF-L-F,192857,9821482,0.347,453.16,335.8,9.654098803140988e-05,3.571874373823654e-05,0.000141732403108,0.000141550131301,0.000283282534409,8
HPF-L-F,192881,7932216,0.171,370.4,269.62,7.427922912561796e-05,3.5680769051494766e-05,0.00010893491437,0.0001090244074654,0.0002179593218355,8
HPF-L-F,192881,10329030,0.445,473.78,355.13,0.0001033054621898,3.564677907854779e-05,0.000151352408304,0.0001517792847123,0.0003031316930164,8
HPF-L-F,192881,7336978,0.151,344.65,251.71,7.064985031760183e-05,3.572595701249157e-05,0.0001037434088279,0.0001035661398072,0.0002073095486352,8
HPF-L-F,192881,7209104,0.104,338.72,243.38,6.770369767861468e-05,3.572973902549188e-05,9.943255399042296e-05,9.92320283631827e-05,0.0001986645823536,8
HPF-L-F,192879,8856946,0.328,409.79,306.55,8.898817114499308e-05,3.5704782428607746e-05,0.0001305935911414,0.0001305265317039,0.0002611201228454,8
HPF-L-F,192881,7097152,0.101,333.56,238.09,6.343841557357738e-05,3.573671040329618e-05,9.319004205197642e-05,9.295882081995614e-05,0.0001861488628719,8
HPF-L-F,192881,6409486,0.315,304.12,228.95,6.691046180661501e-05,3.576913609779168e-05,9.837405369917882e-05,9.796291762841208e-05,0.0001963369713275,8
HPF-L-F,192881,7980326,0.184,371.89,270.98,7.444216049619482e-05,3.5751398535267495e-05,0.0001093903036232,0.0001090471116369,0.0002184374152602,8
HPF-L-F,192881,8907790,0.194,413.52,299.0,8.183105769778035e-05,3.576135205691142e-05,0.0001202780237223,0.0001198408096426,0.0002401188333649,8
HPF-L-F,192881,9411132,0.402,435.12,327.34,9.577315545148567e-05,3.5414017261088714e-05,0.0001393961848501,0.0001416332800215,0.0002810294648716,8
HPF-L-F,22736,483884,0.043,89.36,89.36,7.484132946560756e-06,3.57144240762325e-05,1.1006619916400368e-05,1.0954250716770275e-05,2.1960870633170643e-05,8
HPF-L-F,192881,7104822,0.093,334.07,237.99,6.342558135848381e-05,3.574242265908672e-05,9.318385343591236e-05,9.292734969114918e-05,0.000186111203127,8
HPF-L-L,185944,5087270,0.065,247.1,179.08,4.848501142313627e-05,3.567090110946726e-05,7.109633771035934e-05,7.117439306288276e-05,0.0001422707307732,8
HPF-L-L,185944,6364346,0.231,301.77,222.12,6.300803725397004e-05,3.563969049001017e-05,9.230343995380448e-05,9.25825535025652e-05,0.0001848859934563,8
HPF-L-L,185944,3312418,0.11,170.6,126.67,3.367885064499669e-05,3.569242465434638e-05,4.9422554260231816e-05,4.9402104169777776e-05,9.88246584300096e-05,8
HPF-L-L,185938,6527854,0.175,310.01,226.89,6.313496893544472e-05,3.5684889594246634e-05,9.260485130604262e-05,9.265360082470124e-05,0.0001852584521307,8
HPF-L-L,185944,6022322,0.084,287.38,206.61,5.597781446021633e-05,3.5745736607982574e-05,8.225364608064126e-05,8.20033961801272e-05,0.0001642570422607,8
HPF-L-L,185944,5804998,0.089,275.29,195.48,5.230008015037514e-05,3.5739307225437817e-05,7.683580230192708e-05,7.662957605090526e-05,0.0001534653783528,8
HPF-L-L,185944,6904190,0.131,324.18,232.76,6.34274866389184e-05,3.573933796938795e-05,9.317871648735487e-05,9.293807734973854e-05,0.000186116793837,8
HPF-L-L,188321,3564218,0.053,182.24,131.19,3.3257799634511496e-05,3.5145302432430895e-05,4.804495954704655e-05,4.954419881404988e-05,9.758915836109644e-05,8
