implementation,nodes,arcs,time(s),memPeak(MB),memAvg(MB),CO2e(kg),CO2eRate(kg/s),cpuEnergy(kW),ramEnergy(kW),totEnergy(kW),cpuCount
BK,12674,725620,0.63438,89.4453,89.4453,2.01241136651068e-05,2.8496948447549183e-05,2.208168377644537e-05,3.69689851470298e-05,5.905066892347517e-05,32
MBK,12674,725620,0.456681,89.4766,89.4766,1.4462271038220464e-05,2.8578140701324733e-05,1.595156081679594e-05,2.648542762261457e-05,4.2436988439410506e-05,32
MBK2,12674,725620,0.309373,89.3906,89.3906,1.1620988921138511e-05,2.8617956438274504e-05,1.285172639248558e-05,2.124801985051903e-05,3.4099746243004605e-05,32
BK,17074,995340,0.95522,89.3906,89.3906,2.872061572252408e-05,2.8536725708246977e-05,3.15794835968955e-05,5.269610729532701e-05,8.427559089222251e-05,32
MBK,17074,995340,0.739439,89.3398,89.3398,2.304144147008361e-05,2.8577311777489504e-05,2.539861642998631e-05,4.2212437374023184e-05,6.761105380400949e-05,32
MBK2,17074,995340,0.473689,89.4922,89.4922,1.4535506015702103e-05,2.871572688022716e-05,1.6163708486512107e-05,2.648817510211359e-05,4.2651883588625696e-05,32
BK,15170,878884,0.781946,89.4609,89.4609,2.586839597093025e-05,2.8542867525072787e-05,2.846106721327707e-05,4.744518691951356e-05,7.590625413279062e-05,32
MBK,15170,878884,0.617373,89.4805,89.4805,2.0119737763128287e-05,2.8495408219174946e-05,2.2074563215193632e-05,3.6963265394254565e-05,5.90378286094482e-05,32
MBK2,15170,878884,0.417209,89.5195,89.5195,1.4453102349208353e-05,2.857493928517948e-05,1.5937370249890365e-05,2.6472714285660005e-05,4.241008453555037e-05,32
BK,15186,878828,0.540535,89.3242,89.3242,1.7354382097018885e-05,2.863325964733344e-05,1.919765896922845e-05,3.172572024818408e-05,5.092337921741253e-05,32
MBK,15186,878828,0.466088,89.3281,89.3281,1.4533202587517243e-05,2.8708269123471108e-05,1.6149568752978766e-05,2.6495555831131413e-05,4.264512458411018e-05,32
MBK2,15186,878828,0.299706,89.4766,89.4766,1.1584890326885533e-05,2.8550197503321097e-05,1.2760750208590244e-05,2.123307106433572e-05,3.3993821272925966e-05,32
BK,13538,779296,0.72275,89.6133,89.6133,2.297029852179044e-05,2.848993552684736e-05,2.519057181910728e-05,4.221172552706207e-05,6.740229734616935e-05,32
MBK,13538,779296,0.567794,89.4805,89.4805,1.7332855174259097e-05,2.8607048418732584e-05,1.9144507815593848e-05,3.171570443655583e-05,5.086021225214968e-05,32
MBK2,13538,779296,0.355652,89.4219,89.4219,1.1627173101516522e-05,2.863920542505428e-05,1.2878327524879636e-05,2.123956510678795e-05,3.411789263166758e-05,32
BK,18242,1066852,1.24487,91.7852,91.6025,3.729222155862732e-05,2.853664466457348e-05,4.100039585584747e-05,6.842706342637968e-05,0.0001094274592822,32
MBK,18242,1066852,0.848969,89.4766,89.4766,2.591686979964431e-05,2.859044125762834e-05,2.858820648165769e-05,4.7460285568215e-05,7.604849204987269e-05,32
MBK2,18242,1066852,0.559891,89.4688,89.4688,1.7322644664426992e-05,2.8587474171876665e-05,1.9111125011107843e-05,3.171912629738642e-05,5.083025130849426e-05,32
BK,18130,1059684,1.44109,90.6836,90.5996,4.289274032091879e-05,2.8465988919152906e-05,4.6952635339853055e-05,7.890856034117065e-05,0.000125861195681,32
MBK,18130,1059684,1.02946,89.4414,89.4414,3.160930812014988e-05,2.856613836503838e-05,3.481608729729094e-05,5.79358629135399e-05,9.275195021083084e-05,32
MBK2,18130,1059684,0.68821,89.3359,89.3359,2.305157439131877e-05,2.859571368112203e-05,2.5436729516034595e-05,4.220405756155117e-05,6.764078707758577e-05,32
BK,27778,1652856,1.26419,139.895,136.295,4.017110334256194e-05,2.855711733550928e-05,4.421850259699392e-05,7.36565284850144e-05,0.000117875031082,32
MBK,27778,1652856,1.01508,89.4766,89.4766,3.165500204630777e-05,2.860844404734124e-05,3.495241601746482e-05,5.793361497576797e-05,9.288603099323278e-05,32
MBK2,27778,1652856,0.655032,121.297,116.743,2.016635623482957e-05,2.8560363069985464e-05,2.2215265827751213e-05,3.695935648024005e-05,5.9174622307991264e-05,32
BK,27554,1639060,2.72985,138.887,137.12,7.998236387402972e-05,2.8485894688681376e-05,8.763997233414422e-05,0.000147054194447,0.0002346941667811,32
